well,split,cut_idx,prefix_rows,method,status,detail,eval_rows,rmse,mae,bias,sse,pred_std,piecewise_slope,piecewise_span,fault_step,self_corr,self_corr_start,prefix_gr_shift,prefix_gr_improvement,eval_gr_shift,eval_gr_improvement,prefix_ncc_shift,prefix_ncc_score,prefix_ncc_gain,eval_ncc_shift,eval_ncc_zero,eval_ncc_best,eval_ncc_gain,baseline_rmse,delta_rmse_vs_baseline
000d7d20,native_prefix,1442,1442,last_value,ok,,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,,,,,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,damped_tail_linear_md,ok,damp=0.250;max_move=12.000,3836,8.77721631782069,7.2064288211777425,6.617229008029863,295523.622847741,0.7304885802995564,,,,,,,,,,,,,,,,,7.454442102844319,1.3227742149763708
000d7d20,native_prefix,1442,1442,damped_tail_linear_Z,ok,damp=0.200;max_move=12.000,3836,9.638037154415088,7.8847871358929815,7.351897504942225,356332.79208840145,1.2064622075720222,,,,,,,,,,,,,,,,,7.454442102844319,2.1835950515707685
000d7d20,native_prefix,1442,1442,damped_tail_linear_ANCC,ok,damp=0.200;max_move=12.000,3836,9.689421691235765,7.911813651589051,7.458244840311633,360142.4484378238,1.1844979408460936,,,,,,,,,,,,,,,,,7.454442102844319,2.234979588391446
000d7d20,native_prefix,1442,1442,damped_tail_linear_ASTNU,ok,damp=0.200;max_move=12.000,3836,9.68942169124077,7.911813651593125,7.458244840315612,360142.44843819586,1.1844979408493324,,,,,,,,,,,,,,,,,7.454442102844319,2.2349795883964516
000d7d20,native_prefix,1442,1442,damped_tail_linear_ASTNL,ok,damp=0.200;max_move=12.000,3836,9.689421691239023,7.911813651591635,7.458244840314488,360142.448438066,1.1844979408478613,,,,,,,,,,,,,,,,,7.454442102844319,2.2349795883947037
000d7d20,native_prefix,1442,1442,damped_tail_linear_EGFDU,ok,damp=0.200;max_move=12.000,3836,9.689421691235777,7.911813651589137,7.45824484031135,360142.4484378247,1.18449794084648,,,,,,,,,,,,,,,,,7.454442102844319,2.2349795883914583
000d7d20,native_prefix,1442,1442,damped_tail_linear_EGFDL,ok,damp=0.200;max_move=12.000,3836,9.689421691234658,7.911813651588149,7.4582448403107655,360142.44843774155,1.1844979408453575,,,,,,,,,,,,,,,,,7.454442102844319,2.234979588390339
000d7d20,native_prefix,1442,1442,damped_tail_linear_BUDA,ok,damp=0.200;max_move=12.000,3836,9.689421691237769,7.911813651590662,7.4582448403133075,360142.4484379728,1.1844979408472875,,,,,,,,,,,,,,,,,7.454442102844319,2.2349795883934496
000d7d20,native_prefix,1442,1442,piecewise_tail_slope_md,ok,slope=0.00263867;span=255.000;damp=0.300,3836,8.923223159417937,7.329746733853238,6.812294742307351,305437.32471643575,0.7261313512702717,0.002638672322042995,255.0,,,,,,,,,,,,,,,7.454442102844319,1.4687810565736177
000d7d20,native_prefix,1442,1442,piecewise_tail_slope_Z,ok,slope=0.192306;span=3.390;damp=0.300,3836,9.710258367906656,7.998858452083285,7.601150222139575,361693.05500427866,1.0281759988671035,0.19230567053422232,3.389999999999418,,,,,,,,,,,,,,,7.454442102844319,2.255816265062337
000d7d20,native_prefix,1442,1442,fault_step_recent_level,fallback,step_below_gate;step=0.1250,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,0.125,,,,,,,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,recent_plateau_quantile,ok,window=256;quantile=0.500;move=-0.730,3836,6.93909800710692,5.761540667361493,4.715565693429962,184707.54729997434,1.8189894035458565e-12,,,,,,,,,,,,,,,,,7.454442102844319,-0.5153440957373991
000d7d20,native_prefix,1442,1442,self_corr_prefix_shape,fallback,corr_below_gate;corr=0.5869,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,0.5869173860403901,976.0,,,,,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,gr_shift__last_value,fallback,eval_shift_not_confident,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,0.0,0.0,0.0,0.0,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_md,ok,eval_shift=30.000;eval_improvement=0.0818,3836,13.706028605803322,12.022263769048351,12.01647387906645,720612.6244689276,1.7870935871699862,,,,,,0.0,0.0,30.0,0.08180953657633618,,,,,,,,7.454442102844319,6.251586502959003
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_Z,ok,eval_shift=25.000;eval_improvement=0.0442,3836,13.719157214036267,11.870293126218868,11.851268230806058,721993.7936089686,2.021675324962173,,,,,,0.0,0.0,25.0,0.04420969322383282,,,,,,,,7.454442102844319,6.264715111191948
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_ANCC,ok,eval_shift=25.000;eval_improvement=0.0424,3836,13.78904483418925,11.968064567088154,11.957615566175466,729368.4375370828,2.001752610387708,,,,,,0.0,0.0,25.0,0.042440128481424574,,,,,,,,7.454442102844319,6.334602731344931
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_ASTNU,ok,eval_shift=25.000;eval_improvement=0.0424,3836,13.789044834194225,11.968064567092183,11.957615566179445,729368.4375376093,2.0017526103907235,,,,,,0.0,0.0,25.0,0.04244012848131474,,,,,,,,7.454442102844319,6.334602731349906
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_ASTNL,ok,eval_shift=25.000;eval_improvement=0.0424,3836,13.78904483419256,11.968064567091004,11.95761556617832,729368.437537433,2.0017526103893544,,,,,,0.0,0.0,25.0,0.04244012847965673,,,,,,,,7.454442102844319,6.334602731348242
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_EGFDU,ok,eval_shift=25.000;eval_improvement=0.0424,3836,13.789044834189188,11.968064567087918,11.957615566175184,729368.4375370762,2.00175261038807,,,,,,0.0,0.0,25.0,0.04244012848018349,,,,,,,,7.454442102844319,6.3346027313448685
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_EGFDL,ok,eval_shift=25.000;eval_improvement=0.0424,3836,13.789044834188154,11.968064567087277,11.957615566174598,729368.437536967,2.0017526103870273,,,,,,0.0,0.0,25.0,0.04244012847997505,,,,,,,,7.454442102844319,6.334602731343835
000d7d20,native_prefix,1442,1442,gr_shift__damped_tail_linear_BUDA,ok,eval_shift=25.000;eval_improvement=0.0424,3836,13.789044834191266,11.968064567089835,11.957615566177138,729368.4375372961,2.00175261038882,,,,,,0.0,0.0,25.0,0.04244012848002476,,,,,,,,7.454442102844319,6.334602731346947
000d7d20,native_prefix,1442,1442,gr_shift__piecewise_tail_slope_md,ok,eval_shift=30.000;eval_improvement=0.0667,3836,13.878457916344894,12.21367548673668,12.211539613343934,738858.075104761,1.8035881075596731,,,,,,0.0,0.0,30.0,0.06671178308523043,,,,,,,,7.454442102844319,6.424015813500575
000d7d20,native_prefix,1442,1442,gr_shift__piecewise_tail_slope_Z,ok,eval_shift=25.000;eval_improvement=0.0706,3836,13.85071027654823,12.10978614663584,12.10052094800341,735906.583932475,1.9171197947775847,,,,,,0.0,0.0,25.0,0.07064825836066246,,,,,,,,7.454442102844319,6.396268173703912
000d7d20,native_prefix,1442,1442,gr_shift__fault_step_recent_level,fallback,eval_shift_not_confident,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,0.0,0.0,0.0,0.0,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,gr_shift__recent_plateau_quantile,fallback,eval_shift_not_confident,3836,6.93909800710692,5.761540667361493,4.715565693429962,184707.54729997434,1.8189894035458565e-12,,,,,,0.0,0.0,30.0,0.0103518625668595,,,,,,,,7.454442102844319,-0.5153440957373991
000d7d20,native_prefix,1442,1442,gr_shift__self_corr_prefix_shape,fallback,eval_shift_not_confident,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,0.0,0.0,0.0,0.0,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,ncc_shift__last_value,fallback,ncc_not_confident;corr=0.0000;gain=0.0000,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,,,,,0.0,0.7661931345092118,0.0,-20.0,-1.0503926759259255e-15,1.0503926759259255e-15,2.100785351851851e-15,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,ncc_shift__recent_plateau_quantile,fallback,ncc_not_confident;corr=0.0000;gain=0.0000,3836,6.93909800710692,5.761540667361493,4.715565693429962,184707.54729997434,1.8189894035458565e-12,,,,,,,,,,0.0,0.7661931345092118,0.0,-25.0,,1.0503926759259255e-15,0.0,7.454442102844319,-0.5153440957373991
000d7d20,native_prefix,1442,1442,router_prefix_holdout_best,ok,selected=last_value,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,,,,,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,router_guarded_prefix_holdout,ok,selected=last_value,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,,,,,,,,,,,,7.454442102844319,0.0
000d7d20,native_prefix,1442,1442,router_confidence_guarded,ok,selected=last_value;default_last_value_after_confidence_gate,3836,7.454442102844319,6.134966110532169,5.445565693431345,213161.56030002818,1.8189894035458565e-12,,,,,,,,,,,,,,,,,7.454442102844319,0.0
000d7d20,frac_0.25,1320,1320,last_value,ok,,3958,7.126345593355064,5.809661445175069,4.99849418898575,201006.24440005547,3.637978807091713e-12,,,,,,,,,,,,,,,,,7.126345593355064,0.0
000d7d20,frac_0.25,1320,1320,damped_tail_linear_md,ok,damp=0.250;max_move=12.000,3958,7.439404794519308,6.063791625175382,5.25297547939803,219054.49555160536,0.20650391757023892,,,,,,,,,,,,,,,,,7.126345593355064,0.31305920116424346
000d7d20,frac_0.25,1320,1320,damped_tail_linear_Z,ok,damp=0.200;max_move=12.000,3958,7.002343434538916,5.715294701180565,4.84846133664697,194071.87613076137,0.029160960430286948,,,,,,,,,,,,,,,,,7.126345593355064,-0.12400215881614862
000d7d20,frac_0.25,1320,1320,damped_tail_linear_ANCC,ok,damp=0.200;max_move=12.000,3958,7.648117181859152,6.224473198286287,5.455047440634282,231518.05045984383,0.30971055081160154,,,,,,,,,,,,,,,,,7.126345593355064,0.5217715885040874
000d7d20,frac_0.25,1320,1320,damped_tail_linear_ASTNU,ok,damp=0.200;max_move=12.000,3958,7.64811718185951,6.224473198286609,5.455047440634305,231518.0504598655,0.30971055081213517,,,,,,,,,,,,,,,,,7.126345593355064,0.5217715885044454
000d7d20,frac_0.25,1320,1320,damped_tail_linear_ASTNL,ok,damp=0.200;max_move=12.000,3958,7.648117181862281,6.224473198288792,5.455047440636846,231518.05046003326,0.3097105508136321,,,,,,,,,,,,,,,,,7.126345593355064,0.5217715885072165
000d7d20,frac_0.25,1320,1320,damped_tail_linear_EGFDU,ok,damp=0.200;max_move=12.000,3958,7.6481171818588365,6.224473198286063,5.4550474406338045,231518.05045982476,0.30971055081164284,,,,,,,,,,,,,,,,,7.126345593355064,0.5217715885037721
000d7d20,frac_0.25,1320,1320,damped_tail_linear_EGFDL,ok,damp=0.200;max_move=12.000,3958,7.648117181858076,6.224473198285473,5.455047440633033,231518.0504597787,0.30971055081131044,,,,,,,,,,,,,,,,,7.126345593355064,0.5217715885030119
000d7d20,frac_0.25,1320,1320,damped_tail_linear_BUDA,ok,damp=0.200;max_move=12.000,3958,7.648117181859928,6.224473198286924,5.455047440634799,231518.05045989086,0.30971055081223825,,,,,,,,,,,,,,,,,7.126345593355064,0.5217715885048637
000d7d20,frac_0.25,1320,1320,piecewise_tail_slope_md,ok,slope=0.000722941;span=255.000;damp=0.300,3958,7.584797660817227,6.174675738832483,5.423804216448595,227700.3976888213,0.2436575329573401,0.0007229414625760425,255.0,,,,,,,,,,,,,,,7.126345593355064,0.4584520674621624
000d7d20,frac_0.25,1320,1320,piecewise_tail_slope_Z,ok,slope=-0.00453096;span=6.670;damp=0.300,3958,7.048583640040834,5.747750795279675,4.928872227719126,196643.45900671784,0.0437216739999924,-0.004530962395291686,6.670000000000073,,,,,,,,,,,,,,,7.126345593355064,-0.07776195331422997
000d7d20,frac_0.25,1320,1320,fault_step_recent_level,fallback,step_below_gate;step=0.2850,3958,7.126345593355064,5.809661445175069,4.99849418898575,201006.24440005547,3.637978807091713e-12,,,0.2849999999998545,,,,,,,,,,,,,,7.126345593355064,0.0
000d7d20,frac_0.25,1320,1320,recent_plateau_quantile,ok,window=256;quantile=0.500;move=-0.550,3958,6.751959560604396,5.5353309752401865,4.448494188984657,180441.09540001088,1.8189894035458565e-12,,,,,,,,,,,,,,,,,7.126345593355064,-0.3743860327506683
