combo_id,window,quantile,min_move,blend,well,split,cut_idx,prefix_rows,eval_rows,method,status,detail,rmse,mae,p95_abs_error,bias,sse,baseline_rmse,baseline_mae,baseline_p95_abs_error,baseline_bias,baseline_sse,delta_rmse_vs_baseline
1,128,0.35,2.0,1.0,000d7d20,native_prefix,1442,1442,3836,plateau_recent_quantile,fallback,target=11746.5045;move=-0.8655;min_move=2.000,7.454442102844319,6.134966110532169,11.8700000000008,5.445565693431345,213161.56030002818,7.454442102844319,6.134966110532169,11.8700000000008,5.445565693431345,213161.56030002818,0.0
1,128,0.35,2.0,1.0,000d7d20,frac_0.25,1320,1320,3958,plateau_recent_quantile,fallback,target=11746.4245;move=-0.6455;min_move=2.000,7.126345593355064,5.809661445175069,11.56000000000131,4.99849418898575,201006.24440005547,7.126345593355064,5.809661445175069,11.56000000000131,4.99849418898575,201006.24440005547,0.0
1,128,0.35,2.0,1.0,000d7d20,frac_0.35,1847,1847,3431,plateau_recent_quantile,fallback,target=11748.9900;move=-0.3100;min_move=2.000,9.47121696671804,8.20212474497151,13.869999999998981,8.196015738850807,307774.2552999522,9.47121696671804,8.20212474497151,13.869999999998981,8.196015738850807,307774.2552999522,0.0
1,128,0.35,2.0,1.0,000d7d20,frac_0.50,2639,2639,2639,plateau_recent_quantile,fallback,target=11742.0400;move=0.0800;min_move=2.000,4.533036013345726,3.9084691170893713,6.710999999998966,2.619693065554154,54227.26849998551,4.533036013345726,3.9084691170893713,6.710999999998966,2.619693065554154,54227.26849998551,0.0
1,128,0.35,2.0,1.0,000d7d20,frac_0.65,3431,3431,1847,plateau_recent_quantile,fallback,target=11744.3490;move=0.2190;min_move=2.000,7.143706522550745,6.563806172170185,9.079999999999927,6.562907417432753,94257.106699977,7.143706522550745,6.563806172170185,9.079999999999927,6.562907417432753,94257.106699977,0.0
1,128,0.35,2.0,1.0,00bbac68,native_prefix,1545,1545,6014,plateau_recent_quantile,fallback,target=12222.8400;move=-0.7000;min_move=2.000,15.263052288602681,12.104334885267482,32.46350000000038,2.521854007316989,1401026.041700022,15.263052288602681,12.104334885267482,32.46350000000038,2.521854007316989,1401026.041700022,0.0
1,128,0.35,2.0,1.0,00bbac68,frac_0.25,1890,1890,5669,plateau_recent_quantile,fallback,target=12228.7000;move=0.0600;min_move=2.000,17.370047254174807,11.836140412771169,37.61599999999889,8.001199506085005,1710442.4123999344,17.370047254174807,11.836140412771169,37.61599999999889,8.001199506085005,1710442.4123999344,0.0
1,128,0.35,2.0,1.0,00bbac68,frac_0.35,2646,2646,4913,plateau_recent_quantile,fallback,target=12229.0900;move=-0.0300;min_move=2.000,18.899741981768425,13.630954610217968,38.184000000000374,9.854032159577285,1754924.8134000637,18.899741981768425,13.630954610217968,38.184000000000374,9.854032159577285,1754924.8134000637,0.0
1,128,0.35,2.0,1.0,00bbac68,frac_0.50,3780,3780,3779,plateau_recent_quantile,fallback,target=12237.1545;move=0.6545;min_move=2.000,26.709033860459826,21.288743053717774,45.7409999999998,21.288743053717774,2695834.638799977,26.709033860459826,21.288743053717774,45.7409999999998,21.288743053717774,2695834.638799977,0.0
1,128,0.35,2.0,1.0,00bbac68,frac_0.65,4913,4913,2646,plateau_recent_quantile,fallback,target=12226.6545;move=-1.0355;min_move=2.000,24.071105250368447,20.227637944066757,37.27000000000044,19.622157974301203,1533140.3137000385,24.071105250368447,20.227637944066757,37.27000000000044,19.622157974301203,1533140.3137000385,0.0
1,128,0.35,2.0,1.0,00e12e8b,native_prefix,2083,2083,4301,plateau_recent_quantile,ok,window=128;quantile=0.350;target=11601.6790;move=-3.1410,8.239449243520449,6.698520111601967,14.59100000000035,-2.380658219018881,291988.5410210002,7.92458894231589,6.519876772843751,14.910000000001673,0.7603417809825593,270098.9717000084,0.31486030120455855
1,128,0.35,2.0,1.0,00e12e8b,frac_0.25,1596,1596,4788,plateau_recent_quantile,fallback,target=11590.4000;move=-1.5800;min_move=2.000,13.853526237106028,11.845144110276188,24.220000000001164,-11.459809941521042,918913.8659000623,13.853526237106028,11.845144110276188,24.220000000001164,-11.459809941521042,918913.8659000623,0.0
1,128,0.35,2.0,1.0,00e12e8b,frac_0.35,2234,2234,4150,plateau_recent_quantile,ok,window=128;quantile=0.350;target=11607.4880;move=-2.8220,8.750682334014748,7.4124587951804415,17.769999999998245,3.560684337348637,317783.9314399768,10.229106887252424,8.670559036144233,20.59199999999836,6.382684337348754,434233.70499996515,-1.4784245532376765
1,128,0.35,2.0,1.0,00e12e8b,frac_0.50,3192,3192,3192,plateau_recent_quantile,fallback,target=11613.7835;move=1.6135;min_move=2.000,12.95911301436352,11.631976817042535,23.469999999999345,11.631976817042535,536060.0434999948,12.95911301436352,11.631976817042535,23.469999999999345,11.631976817042535,536060.0434999948,0.0
1,128,0.35,2.0,1.0,00e12e8b,frac_0.65,4150,4150,2234,plateau_recent_quantile,fallback,target=11588.3535;move=1.0835;min_move=2.000,13.1458420432453,12.27534467323161,18.626999999999132,-12.268692927484054,386064.60619998514,13.1458420432453,12.27534467323161,18.626999999999132,-12.268692927484054,386064.60619998514,0.0
2,128,0.35,4.0,1.0,000d7d20,native_prefix,1442,1442,3836,plateau_recent_quantile,fallback,target=11746.5045;move=-0.8655;min_move=4.000,7.454442102844319,6.134966110532169,11.8700000000008,5.445565693431345,213161.56030002818,7.454442102844319,6.134966110532169,11.8700000000008,5.445565693431345,213161.56030002818,0.0
2,128,0.35,4.0,1.0,000d7d20,frac_0.25,1320,1320,3958,plateau_recent_quantile,fallback,target=11746.4245;move=-0.6455;min_move=4.000,7.126345593355064,5.809661445175069,11.56000000000131,4.99849418898575,201006.24440005547,7.126345593355064,5.809661445175069,11.56000000000131,4.99849418898575,201006.24440005547,0.0
2,128,0.35,4.0,1.0,000d7d20,frac_0.35,1847,1847,3431,plateau_recent_quantile,fallback,target=11748.9900;move=-0.3100;min_move=4.000,9.47121696671804,8.20212474497151,13.869999999998981,8.196015738850807,307774.2552999522,9.47121696671804,8.20212474497151,13.869999999998981,8.196015738850807,307774.2552999522,0.0
2,128,0.35,4.0,1.0,000d7d20,frac_0.50,2639,2639,2639,plateau_recent_quantile,fallback,target=11742.0400;move=0.0800;min_move=4.000,4.533036013345726,3.9084691170893713,6.710999999998966,2.619693065554154,54227.26849998551,4.533036013345726,3.9084691170893713,6.710999999998966,2.619693065554154,54227.26849998551,0.0
2,128,0.35,4.0,1.0,000d7d20,frac_0.65,3431,3431,1847,plateau_recent_quantile,fallback,target=11744.3490;move=0.2190;min_move=4.000,7.143706522550745,6.563806172170185,9.079999999999927,6.562907417432753,94257.106699977,7.143706522550745,6.563806172170185,9.079999999999927,6.562907417432753,94257.106699977,0.0
2,128,0.35,4.0,1.0,00bbac68,native_prefix,1545,1545,6014,plateau_recent_quantile,fallback,target=12222.8400;move=-0.7000;min_move=4.000,15.263052288602681,12.104334885267482,32.46350000000038,2.521854007316989,1401026.041700022,15.263052288602681,12.104334885267482,32.46350000000038,2.521854007316989,1401026.041700022,0.0
2,128,0.35,4.0,1.0,00bbac68,frac_0.25,1890,1890,5669,plateau_recent_quantile,fallback,target=12228.7000;move=0.0600;min_move=4.000,17.370047254174807,11.836140412771169,37.61599999999889,8.001199506085005,1710442.4123999344,17.370047254174807,11.836140412771169,37.61599999999889,8.001199506085005,1710442.4123999344,0.0
2,128,0.35,4.0,1.0,00bbac68,frac_0.35,2646,2646,4913,plateau_recent_quantile,fallback,target=12229.0900;move=-0.0300;min_move=4.000,18.899741981768425,13.630954610217968,38.184000000000374,9.854032159577285,1754924.8134000637,18.899741981768425,13.630954610217968,38.184000000000374,9.854032159577285,1754924.8134000637,0.0
