planned_slot,candidate_id,family,path,rows,changed_rows,changed_row_frac,changed_well_count,rmse_to_baseline,mae_to_baseline,p95_abs_diff_to_baseline,max_abs_diff_to_baseline,top_well,top_well_contribution_frac,top_well_rmse_diff,top_well_changed_frac,impact_bucket
1,plateau_recent_quantile_v1_submission,plateau_signal,artifacts/plateau_recent_quantile_v1/submission.csv,14151,4301,0.30393611758886296,1,4.722387630324052,2.1154070797710776,14.088593358396793,15.928593358396029,00e12e8b,1.0000000000000002,8.565850233107199,1.0,SINGLE_WELL_DOMINATED
2,gr_typewell_light_alpha030_relaxed_v1_submission,gr_typewell_light,artifacts/gr_typewell_light_alpha030_relaxed_v1/submission.csv,14151,8135,0.5748710338491979,2,1.0486009315202818,0.7761645724345813,1.4998372410464071,1.4999317415858968,00e12e8b,0.5285773155901333,1.3828444910465756,0.9997674959311788,SPARSE_INFORMATION
3,gr_typewell_light_alpha040_v1_submission,gr_typewell_light,artifacts/gr_typewell_light_alpha040_v1/submission.csv,14151,8135,0.5748710338491979,2,1.3981345753603804,1.0348860965794446,1.9997829880612699,1.9999089887787704,00e12e8b,0.5285773155901519,1.8437926547288062,0.9997674959311788,SPARSE_INFORMATION
4,rogii_baidalin_7_201_preflight_codex_v1_sp45_projection_submission,projection_branch,artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/sp45_projection_submission.csv,14151,14151,1.0,3,1.4586353704192676,1.0835288699712762,2.9541504614935548,7.813086002282944,00bbac68,0.3385641967602046,1.3019044423040194,1.0,BROAD
5,sp45_projection_slot1_codex_v1_fleongg_pretrained_submission,projection_branch,artifacts/sp45_projection_slot1_codex_v1/fleongg_pretrained_submission.csv,14151,14151,1.0,3,3.961956369424925,2.925124822361781,9.11983975041312,10.925476118845836,00bbac68,0.4420457175783672,4.040686307940106,1.0,BROAD
