path,known_public_score,rows,pred_min,pred_max,pred_mean,pred_std,rmse_to_current_best_7p235,mae_to_current_best_7p235,p95_abs_diff_to_current_best_7p235,anchor_first_abs_median,anchor_first_abs_p90,anchor_weak_row_frac,slope_gap_abs_median,slope_abs_p50,slope_abs_p95,curvature_abs_p95,jump_rate_abs_slope_gt3,typewell_range_violation_frac,rmse_to_nearest_known,nearest_known_path,nearest_known_public_score,risk_grade,estimated_public_band
artifacts/fleongg_branch_calibration_joezzzzz_v1/submission.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v1/submission_gold_prefix_aggressive.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v1/submission_gold_prefix_balanced.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v1/submission_gold_prefix_conservative.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v1/submission_pre_gold.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v1/submission_public_self_verified.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v2/submission_gold_prefix_aggressive.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v2/submission_gold_prefix_balanced.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v2/submission_gold_prefix_conservative.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v2/submission_pre_gold.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/fleongg_branch_calibration_joezzzzz_v2/submission_public_self_verified.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_gold_prefix_aggressive.csv,,14151,11587.038593358397,12240.016065617148,11903.630072938824,278.02477266709434,0.0,0.0,0.0,0.026065617144922726,0.03608781014481792,0.0,0.0014285714284162816,0.010000000002037268,0.049999999999272404,0.020000000000436557,7.068136839129205e-05,0.0,,,,near_duplicate_low_upside,likely_around_7p235_low_upside
